Код;Товар;Цена
44513;ДСП;110
20637;Кромка 22х0.4;1
42684;Кромка 22х0.8;1.25
24340;Кромка 22х1;1.5
24887;Кромка 42х2;4 
19026;Порезка ДСП прямолинейная;0.385
19007;Кромкование линейное;0.85
68979;Кромкование вырезов, радиусов мин. до 200 мм;8.45
19002;Кромквование вырезов, радиусов;5
61768;Кромкование линейное белым клеем;1.3
61787;Кромкование вырезов, радиусов белым клеем;5
00011;Сверление отверстий;0.255
51203;Сверление отверстий под петли D35;0.52
19016;Паз на плоскости;5
19049;Сложный фрезерный рез;5.6
48296;Обработка внутреннего радиуса;4
93808;Сложный фрезерный рез минимальный;8
19046;Обработка фрезерного выреза;8
19030;Вырез сложный;6
19038;Срез под 45 градусов;5
19259;Срез сложного угла;3
61783;Кромкование ручное вырезов;8.45
12115;Подрезка ДСП, МДФ в размер;3
32811;Кромкование ручное вырезов, окон;3
96184;Сверление негабаритных деталей, отв.;0.55
79692;Порезка стяжек в размер;5
19048;Стяжка деталей до 1 м.кв.;5
89525;Оклейка кромкой стяжек;4.5
19034;Угол под 90 градусов;1.5
122434;Кромкование углов, радиусов ПУР-клеем белым;3.3
61772;Кромкование ПУР-клеем белым;1.3
